Academic_Year,UDISE_Code,district_name & code,block_name & code,School_Name,PP3_B,PP3_G,PP3_T,PP2_B,PP2_G,PP2_T,PP1_B,PP1_G,PP1_T,C1B,C1G,C1T,C2B,C2G,C2T,C3B,C3G,C3T,C4B,C4G,C4T,C5B,C5G,C5T,C6B,C6G,C6T,C7B,C7G,C7T,C8B,C8G,C8T,C9B,C9G,C9T,C10B,C10G,C10T,C11B,C11G,C11T,C12B,C12G,C12T,Total
2024-25,28170600108,PALNADU (2832),BELLAMKONDA (281706),MPPS (URDU)BELLAMKONDA,0,0,0,0,0,0,3,2,0,3,2,0,4,3,0,2,1,0,1,5,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2024-25,28170900904,PALNADU (2832),AMARAVATHI (281709),MPPS (HE) DHARANIKOTA,0,0,0,0,0,0,0,0,0,3,2,0,6,1,0,6,5,0,4,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2024-25,28171590913,PALNADU (2832),SATTENAPALLE (281715),MPPS V R NAGAR  S A P,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,2,2,0,4,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2024-25,28171801001,PALNADU (2832),KAREMPUDI (281718),M.P.Primary School,0,0,0,0,0,0,0,0,0,11,14,0,11,18,0,16,24,0,12,23,0,37,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
2024-25,28171900801,PALNADU (2832),DURGI (281719),MPPS (M) DURGI,0,0,0,0,0,0,0,0,0,7,10,0,10,12,0,10,21,0,18,14,0,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
2024-25,28172000801,PALNADU (2832),VELDURTHI (281720),MPPS SIRIGIRIPADU,0,0,0,0,0,0,0,0,0,16,12,0,14,10,0,10,12,0,10,11,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
2024-25,28172100901,PALNADU (2832),BOLLAPALLE (281721),MPPS BOLLAPALLI(HC),0,0,0,0,0,0,0,0,0,6,9,0,2,3,0,12,3,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2024-25,28172300608,PALNADU (2832),MUPPALLA (281723),ZPHS G MUPPALLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,4,9,0,11,12,0,30,29,0,40,30,0,33,40,0,38,28,0,54,46,0,0,0,0,0,0,0,417
2024-25,28172400704,GUNTUR (2817),PHIRANGIPURAM (281724),MPPS(PPN) PHIRANGIPURAM,0,0,0,0,0,0,0,0,0,2,5,0,2,2,0,3,3,0,5,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2024-25,28172900901,GUNTUR (2817),KOLLIPARA (281729),MPPS (R) KOLLIPARA,0,0,0,0,0,0,1,0,0,5,4,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
